basis,method,budget,observed_queries,build_labels,method_rmse,same_budget_mc_rmse_theory,ratio_vs_same_budget_mc_theory,ratio_at_observed_queries,break_even_queries_extrapolated,labels_per_query_at_break_even
global,mc,512,12,0,0.002966442435906985,0.003291934174637207,0.9011244692442573,0.9011244692442573,1.0,512.0
global,mc,1024,12,0,0.0023144039041394547,0.002264071973031093,1.022230711615134,1.022230711615134,,
global,mc,2048,12,0,0.0014737677820549535,0.001506856842412439,0.9780410060025936,0.9780410060025936,1.0,2048.0
global,output_active,64,12,0,0.00805489220217234,0.009528281721551717,0.8453667132819169,0.8453667132819169,1.0,64.0
global,output_active,128,12,0,0.005044340664486818,0.006715778650061436,0.7511177671766582,0.7511177671766582,1.0,128.0
global,output_active,256,12,0,0.004120723685387037,0.004717885970676192,0.8734258756992452,0.8734258756992452,1.0,256.0
global,output_active,512,12,0,0.003062037112531632,0.003291934174637207,0.9301635300375012,0.9301635300375012,1.0,512.0
global,output_active,1024,12,0,0.0018818780972233626,0.002264071973031093,0.8311918170622212,0.8311918170622212,1.0,1024.0
global,output_active,2048,12,0,0.0013158040023367255,0.001506856842412439,0.8732110213138476,0.8732110213138476,1.0,2048.0
global,output_comp,64,12,6000,0.0061278818359618535,0.009528281721551717,0.6431255933692003,1.9591026095626445,68.0,152.23529411764707
global,output_comp,128,12,6000,0.008306983284375853,0.006715778650061436,1.2369352412024273,2.8119541398342967,,
global,output_comp,256,12,6000,0.003536959256316989,0.004717885970676192,0.7496915521699338,1.32270258225746,32.0,443.5
global,output_comp,512,12,6000,0.002478150438733721,0.003291934174637207,0.752794651189169,1.0873956881223956,17.0,864.9411764705883
global,output_comp,1024,12,6000,0.0014876486345038699,0.002264071973031093,0.6570677311606117,0.8248948504819122,6.0,2024.0
global,output_comp,2048,12,6000,0.0012898369968369677,0.001506856842412439,0.8559784582933385,0.9862779721170074,11.0,2593.4545454545455
