basis_kind,seed,dictionary_seed,query,family,model_query_id,method,query_signature,query_description,reference_rate,select_rate,uses_concept,auroc,average_precision,top_decile_rate,top_decile_lift
sklearn_sdl,20260521,0,2,concept_class_error,cifar10/sklearn_sdl/m20260521/d0/2,per_query_rf,"[[{""concept"": 6, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [3]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: bottom_heavy AND label in {cat} AND model error),0.0163,0.01725,True,0.9717375997147824,0.7313839014479783,0.14666666666666667,9.26315789473684
sklearn_sdl,20260521,0,3,class_confusion,cifar10/sklearn_sdl/m20260521/d0/3,internal,"[[{""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [6]}, {""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [9]}]]",(label in {frog} AND prediction in {truck}),0.001,0.001125,False,0.8478939715382232,0.006619916306455581,0.005,4.285714285714286
sklearn_sdl,20260521,0,3,class_confusion,cifar10/sklearn_sdl/m20260521/d0/3,output_comp,"[[{""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [6]}, {""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [9]}]]",(label in {frog} AND prediction in {truck}),0.001,0.001125,False,0.9982360372815904,0.613340087808173,0.011666666666666667,10.0
sklearn_sdl,20260521,0,3,class_confusion,cifar10/sklearn_sdl/m20260521/d0/3,input_concept_comp,"[[{""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [6]}, {""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [9]}]]",(label in {frog} AND prediction in {truck}),0.001,0.001125,False,0.7681104145312388,0.0038546454281121047,0.005,4.285714285714286
sklearn_sdl,20260521,0,3,class_confusion,cifar10/sklearn_sdl/m20260521/d0/3,embedding_comp,"[[{""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [6]}, {""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [9]}]]",(label in {frog} AND prediction in {truck}),0.001,0.001125,False,0.9993563919811208,0.8441751700680272,0.011666666666666667,10.0
sklearn_sdl,20260521,0,3,class_confusion,cifar10/sklearn_sdl/m20260521/d0/3,pca_comp,"[[{""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [6]}, {""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [9]}]]",(label in {frog} AND prediction in {truck}),0.001,0.001125,False,0.9911563490739196,0.35337330955109314,0.011666666666666667,10.0
sklearn_sdl,20260521,0,3,class_confusion,cifar10/sklearn_sdl/m20260521/d0/3,random_comp,"[[{""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [6]}, {""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [9]}]]",(label in {frog} AND prediction in {truck}),0.001,0.001125,False,0.909155920001907,0.07941827833956858,0.006666666666666667,5.714285714285714
sklearn_sdl,20260521,0,3,class_confusion,cifar10/sklearn_sdl/m20260521/d0/3,output_active,"[[{""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [6]}, {""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [9]}]]",(label in {frog} AND prediction in {truck}),0.001,0.001125,False,0.8844366046101404,0.005555769459039167,0.0,0.0
sklearn_sdl,20260521,0,3,class_confusion,cifar10/sklearn_sdl/m20260521/d0/3,per_query_rf,"[[{""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [6]}, {""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [9]}]]",(label in {frog} AND prediction in {truck}),0.001,0.001125,False,0.9970203332459298,0.6417617172182155,0.011666666666666667,10.0
sklearn_sdl,20260521,0,4,output_fp,cifar10/sklearn_sdl/m20260521/d0/4,internal,"[[{""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [9]}, {""concept"": -1, ""kind"": ""label_not_in"", ""threshold"": 0.0, ""values"": [9]}, {""concept"": -1, ""kind"": ""confidence_gt"", ""threshold"": 0.85, ""values"": []}]]",(prediction in {truck} AND label not in {truck} AND confidence > 0.85),0.0012,0.00125,False,0.9524524524524525,0.05109218280746543,0.008333333333333333,8.333333333333334
sklearn_sdl,20260521,0,4,output_fp,cifar10/sklearn_sdl/m20260521/d0/4,output_comp,"[[{""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [9]}, {""concept"": -1, ""kind"": ""label_not_in"", ""threshold"": 0.0, ""values"": [9]}, {""concept"": -1, ""kind"": ""confidence_gt"", ""threshold"": 0.85, ""values"": []}]]",(prediction in {truck} AND label not in {truck} AND confidence > 0.85),0.0012,0.00125,False,0.9830942053164275,0.034431405987385616,0.01,10.0
sklearn_sdl,20260521,0,4,output_fp,cifar10/sklearn_sdl/m20260521/d0/4,input_concept_comp,"[[{""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [9]}, {""concept"": -1, ""kind"": ""label_not_in"", ""threshold"": 0.0, ""values"": [9]}, {""concept"": -1, ""kind"": ""confidence_gt"", ""threshold"": 0.85, ""values"": []}]]",(prediction in {truck} AND label not in {truck} AND confidence > 0.85),0.0012,0.00125,False,0.7240851963074185,0.002958493099095046,0.0016666666666666668,1.6666666666666667
sklearn_sdl,20260521,0,4,output_fp,cifar10/sklearn_sdl/m20260521/d0/4,embedding_comp,"[[{""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [9]}, {""concept"": -1, ""kind"": ""label_not_in"", ""threshold"": 0.0, ""values"": [9]}, {""concept"": -1, ""kind"": ""confidence_gt"", ""threshold"": 0.85, ""values"": []}]]",(prediction in {truck} AND label not in {truck} AND confidence > 0.85),0.0012,0.00125,False,0.89550661772884,0.07291379460150858,0.005,5.0
sklearn_sdl,20260521,0,4,output_fp,cifar10/sklearn_sdl/m20260521/d0/4,pca_comp,"[[{""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [9]}, {""concept"": -1, ""kind"": ""label_not_in"", ""threshold"": 0.0, ""values"": [9]}, {""concept"": -1, ""kind"": ""confidence_gt"", ""threshold"": 0.85, ""values"": []}]]",(prediction in {truck} AND label not in {truck} AND confidence > 0.85),0.0012,0.00125,False,0.9093259926593259,0.006547133882737775,0.006666666666666667,6.666666666666667
