basis_kind,method,budget,cells,model_queries,mean_reference_rate,rmse,mc_rmse,mae,rmse_ratio_vs_mc,effective_mc_multiplier
sklearn_sdl,output_active,128,12,12,0.0059,0.005044340664486817,0.007975749014228196,0.003473394210122141,0.6324598047767118,2.499966221342677
sklearn_sdl,random_comp,128,12,12,0.0059,0.005289743246622023,0.007975749014228196,0.0036811922946787187,0.6632283986350974,2.273389093720315
sklearn_sdl,pca_comp,128,12,12,0.0059,0.00543073905871381,0.007975749014228196,0.0033148679426724553,0.6809064639604054,2.156875542858303
sklearn_sdl,embedding_comp,128,12,12,0.0059,0.00680442451328847,0.007975749014228196,0.003200531642330295,0.8531392476305156,1.3739159229203224
sklearn_sdl,ase_output,128,12,12,0.0059,0.007723315800398024,0.007975749014228196,0.005887910917938367,0.9683499050208515,1.0664374098630396
sklearn_sdl,random_stratified,128,12,12,0.0059,0.0077446341113478895,0.007975749014228196,0.005636793271892531,0.9710227964209991,1.0605744204275414
sklearn_sdl,mc,128,12,12,0.0059,0.007975749014228196,0.007975749014228196,0.005380092592592578,1.0,1.0
sklearn_sdl,output_comp,128,12,12,0.0059,0.008306983284375853,0.007975749014228196,0.004089463571420445,1.0415301772356123,0.9218415617032018
sklearn_sdl,embedding_ase,128,12,12,0.0059,0.009973759208680944,0.007975749014228196,0.00727740475680708,1.2505106656300786,0.6394773986660478
sklearn_sdl,per_query_rf,256,12,12,0.0059,0.0023738626821954625,0.004697319575876935,0.0016874284123614997,0.5053653778181123,3.91551623592983
sklearn_sdl,pca_comp,256,12,12,0.0059,0.002504713816822396,0.004697319575876935,0.0018995746258585594,0.533221931436248,3.5170941376451537
sklearn_sdl,input_concept_comp,256,12,12,0.0059,0.0027895881168105837,0.004697319575876935,0.0021313011138876007,0.5938680713010249,2.8354372921290185
sklearn_sdl,output_comp,256,12,12,0.0059,0.003536959256316989,0.004697319575876935,0.002390859964934163,0.7529739459246139,1.7637624875851334
sklearn_sdl,internal,256,12,12,0.0059,0.003900514805984825,0.004697319575876935,0.0028168603976343,0.8303703299251562,1.4502950146769267
