basis_kind,budget,method,model_queries,rmse,mc_rmse,rmse_ratio_vs_mc,rmse_ratio_ci_low,rmse_ratio_ci_high
sklearn_sdl,64,input_concept_comp,12,0.006656842721709477,0.00711265987908571,0.9359146697402849,0.4694680027275766,1.444324115887126
sklearn_sdl,64,mc,12,0.00711265987908571,0.00711265987908571,1.0,1.0,1.0
sklearn_sdl,64,pca_comp,12,0.008661702956956174,0.00711265987908571,1.2177867498522346,0.45282339077157036,1.813471920118853
sklearn_sdl,64,random_stratified,12,0.009016317895262835,0.00711265987908571,1.2676436169504888,0.902534899533345,1.6432078350071178
sklearn_sdl,64,output_active,12,0.009846429949803984,0.00711265987908571,1.384352705906371,0.5979925180022317,2.180528645821434
sklearn_sdl,64,embedding_ase,12,0.011188209251608884,0.00711265987908571,1.5729993338367054,0.9673578039682712,2.1163247075171356
sklearn_sdl,64,ase_output,12,0.015125291248825501,0.00711265987908571,2.1265309330058626,0.8876181781082234,3.1496890328546403
sklearn_sdl,64,per_query_rf,12,0.017966090915844956,0.00711265987908571,2.525931398557805,0.4376364436724049,5.319336724634893
sklearn_sdl,128,per_query_rf,12,0.0028748541864137777,0.007253522252633162,0.3963390593266813,0.3015215379769646,0.6536394045487229
sklearn_sdl,128,embedding_comp,12,0.004063145190519189,0.007253522252633162,0.5601616771829979,0.3595598201428072,1.1359671533241493
sklearn_sdl,128,internal,12,0.004063595416145484,0.007253522252633162,0.5602237471140761,0.3584889994289221,1.0100278786687176
sklearn_sdl,128,output_active,12,0.00453430018004855,0.007253522252633162,0.6251170151718382,0.49974265419759595,0.9706767224287532
sklearn_sdl,128,random_comp,12,0.004962228498692062,0.007253522252633162,0.6841129489732636,0.5089762807488758,1.1621559925697913
sklearn_sdl,128,input_concept_comp,12,0.005754636629021911,0.007253522252633162,0.7933575480426592,0.34037616864591574,1.5178527843484455
sklearn_sdl,128,ase_output,12,0.007223643832271264,0.007253522252633162,0.9958808397739386,0.7116693990505135,1.7537394658431171
sklearn_sdl,128,mc,12,0.007253522252633162,0.007253522252633162,1.0,1.0,1.0
sklearn_sdl,128,pca_comp,12,0.007475590079906884,0.007253522252633162,1.030615171435244,0.47797632213802804,2.2237264004869157
sklearn_sdl,128,random_stratified,12,0.008070755053448104,0.007253522252633162,1.1126670288380616,0.8706168915922512,1.6847560120334462
sklearn_sdl,128,embedding_ase,12,0.010773141026830241,0.007253522252633162,1.4852289207383893,0.9830004397396267,2.5825264329908633
sklearn_sdl,128,output_comp,12,0.011843316695009133,0.007253522252633162,1.6327676792760637,0.7134664265672543,1.9683939707376672
sklearn_sdl,256,per_query_rf,12,0.0022156600368810546,0.003997025803991985,0.5543271786407254,0.45596927417852556,0.6852223233302526
sklearn_sdl,256,input_concept_comp,12,0.0023159679571096436,0.003997025803991985,0.5794228185358714,0.40588943238817654,0.7739546560730982
sklearn_sdl,256,pca_comp,12,0.0025548009161387745,0.003997025803991985,0.6391754873304033,0.46130016633654264,0.820777314214761
sklearn_sdl,256,random_stratified,12,0.003393582372377599,0.003997025803991985,0.8490268861882992,0.5924788756262774,1.0839366361862293
sklearn_sdl,256,internal,12,0.003900514805984925,0.003997025803991985,0.9758542969848553,0.6210363000756652,1.2448941809284988
sklearn_sdl,256,mc,12,0.003997025803991985,0.003997025803991985,1.0,1.0,1.0
sklearn_sdl,256,output_comp,12,0.004125622693137177,0.003997025803991985,1.0321731445958535,0.6752035004430409,1.308135450863002
sklearn_sdl,256,output_active,12,0.004198287554065558,0.003997025803991985,1.050352877350095,0.612761125849987,1.3863096105077937
sklearn_sdl,256,ase_output,12,0.004947163060036311,0.003997025803991985,1.2377110638353614,0.8926677711241909,1.511977124592338
sklearn_sdl,256,random_comp,12,0.005141290100788529,0.003997025803991985,1.286278936616752,0.6504242044448721,1.9264319792071163
sklearn_sdl,256,embedding_ase,12,0.005733668426524023,0.003997025803991985,1.4344837155661054,1.1152057594150893,1.6449061762285728
sklearn_sdl,256,embedding_comp,12,0.00637674483273445,0.003997025803991985,1.5953724457734915,0.4712575463305087,2.3893401206156515
sklearn_sdl,512,per_query_rf,12,0.001628293969274297,0.0024398884865548497,0.6673640939932737,0.5222135992943507,0.9319488559265422
sklearn_sdl,512,pca_comp,12,0.0021071954981970076,0.0024398884865548497,0.8636441828423035,0.587571750389482,1.3495919532777017
sklearn_sdl,512,embedding_comp,12,0.002156718667539641,0.0024398884865548497,0.8839414913527266,0.5555985226244426,1.14127124051976
sklearn_sdl,512,internal,12,0.0022134721067601153,0.0024398884865548497,0.907202160655122,0.592019695520553,1.501536358786154
sklearn_sdl,512,random_comp,12,0.002409677209956019,0.0024398884865548497,0.9876177633669277,0.6420335713470336,1.5778167065927704
sklearn_sdl,512,mc,12,0.0024398884865548497,0.0024398884865548497,1.0,1.0,1.0
sklearn_sdl,512,input_concept_comp,12,0.0025355860840785903,0.0024398884865548497,1.0392221193923772,0.632492777948061,1.7999009228076635
sklearn_sdl,512,output_comp,12,0.0027495507809521544,0.0024398884865548497,1.1269165767631255,0.9505894018300961,1.3504123605449856
sklearn_sdl,512,output_active,12,0.002972996691386283,0.0024398884865548497,1.2184969549916556,0.6505408991373786,1.5764510187526342
sklearn_sdl,512,embedding_ase,12,0.003421568274192403,0.0024398884865548497,1.402346169936519,1.051044953802443,2.0132539736040234
sklearn_sdl,512,random_stratified,12,0.0041357572742883415,0.0024398884865548497,1.69505995748522,1.2186027168441587,2.4789453169642903
sklearn_sdl,512,ase_output,12,0.007121194760058893,0.0024398884865548497,2.9186558317319253,1.0346763290266068,5.7564293988669455
sklearn_sdl,1024,per_query_rf,12,0.0013246671116333077,0.0020657543670880205,0.6412510280690427,0.46002449312146515,0.7797999883017563
sklearn_sdl,1024,pca_comp,12,0.0013930794256064123,0.0020657543670880205,0.6743683798041096,0.5086907780466718,0.8030210156365301
sklearn_sdl,1024,output_comp,12,0.0016939646676105797,0.0020657543670880205,0.8200223098153088,0.576213527830447,1.0125202670259406
sklearn_sdl,1024,internal,12,0.0017169519223382199,0.0020657543670880205,0.8311500871996277,0.5767186295498835,1.182027551217148
