basis_kind,method,budget,cells,model_queries,mean_reference_rate,rmse,mae,mc_rmse,rmse_ratio_vs_mc,effective_mc_multiplier
saelens_sae,output_active,256,36,12,0.0059,0.0034204396098550774,0.0023096166486092414,0.005323141405073021,0.6425603510354535,2.4219889193071222
saelens_sae,random_comp,256,36,12,0.0059,0.004555520967199563,0.0029577668533501025,0.005323141405073021,0.8557955952209149,1.3654000245339657
saelens_sae,embedding_ase,256,36,12,0.0059,0.004674133496019294,0.0036472956969279277,0.005323141405073021,0.8780780257997253,1.2969815022528437
saelens_sae,ase_output,256,36,12,0.0059,0.004748883718198629,0.0036242769792768767,0.005323141405073021,0.8921205274901927,1.2564723473141748
saelens_sae,mc,256,36,12,0.0059,0.005323141405073021,0.004146701388888889,0.005323141405073021,1.0,1.0
saelens_sae,random_stratified,256,36,12,0.0059,0.005675449889529625,0.004136989211026676,0.005323141405073021,1.0661843181773922,0.8797016753144219
saelens_sae,embedding_comp,256,36,12,0.0059,0.007059944607410719,0.002654468387015982,0.005323141405073021,1.3262741058658525,0.568503861442174
saelens_sae,per_query_rf,512,36,12,0.0059,0.0014476674735481195,0.0011579699951834784,0.0031591169339733787,0.4582506769470277,4.762048010603688
saelens_sae,pca_comp,512,36,12,0.0059,0.001552280147700421,0.0011976683391867714,0.0031591169339733787,0.4913652074752551,4.14181976705841
saelens_sae,output_comp,512,36,12,0.0059,0.0015860088810611386,0.0012272463672617115,0.0031591169339733787,0.5020418408717578,3.9675295794443586
saelens_sae,output_active,512,36,12,0.0059,0.0021946361899245824,0.0015253124856886386,0.0031591169339733787,0.6946992579867182,2.0720790988305815
saelens_sae,internal,512,36,12,0.0059,0.002320401020950853,0.0018251144664398072,0.0031591169339733787,0.7345093801362931,1.8535542744909155
saelens_sae,input_concept_comp,512,36,12,0.0059,0.0023573646306749457,0.001692425039165027,0.0031591169339733787,0.7462099947373492,1.7958823269338662
saelens_sae,random_stratified,512,36,12,0.0059,0.0026230697709395327,0.0021154680518077904,0.0031591169339733787,0.8303174038070086,1.4504799100706995
saelens_sae,random_comp,512,36,12,0.0059,0.0028164811813698003,0.0021147730926889723,0.0031591169339733787,0.8915406552638656,1.2581073380628915
saelens_sae,mc,512,36,12,0.0059,0.0031591169339733787,0.0023434895833333333,0.0031591169339733787,1.0,1.0
saelens_sae,embedding_comp,512,36,12,0.0059,0.0033557504214866657,0.0019849490317396215,0.0031591169339733787,1.0622431811240274,0.8862415272277437
saelens_sae,embedding_ase,512,36,12,0.0059,0.003843761415035016,0.0028478361701183303,0.0031591169339733787,1.2167202086440423,0.6754894294915633
saelens_sae,ase_output,512,36,12,0.0059,0.008580777011401287,0.003845747918135136,0.0031591169339733787,2.7161948072016493,0.1355433361518658
saelens_sae,output_comp,1024,36,12,0.0059,0.0012687355647581348,0.0009294933219520818,0.0027222979199876835,0.46605316612954506,4.6039338458547086
saelens_sae,per_query_rf,1024,36,12,0.0059,0.0014035579640862886,0.0009697407664863394,0.0027222979199876835,0.5155783846364026,3.761929019962714
saelens_sae,pca_comp,1024,36,12,0.0059,0.001580484719153294,0.0012352163860458608,0.0027222979199876835,0.5805700792514453,2.966816599088837
saelens_sae,input_concept_comp,1024,36,12,0.0059,0.0017214682104702086,0.0012440912155448907,0.0027222979199876835,0.6323584931064404,2.5007673366759113
saelens_sae,output_active,1024,36,12,0.0059,0.0019362539545380768,0.0014196741536878586,0.0027222979199876835,0.7112571847194583,1.976726876388064
saelens_sae,ase_output,1024,36,12,0.0059,0.002059558878843949,0.0016560509951214616,0.0027222979199876835,0.7565516116815264,1.7471205758354376
saelens_sae,internal,1024,36,12,0.0059,0.0020865541448443644,0.001419169004682905,0.0027222979199876835,0.766467964260798,1.7022054822705912
saelens_sae,random_comp,1024,36,12,0.0059,0.00234127668535372,0.0016700394402344057,0.0027222979199876835,0.8600369078503769,1.3519661618643608
saelens_sae,random_stratified,1024,36,12,0.0059,0.002556443607688679,0.0018514716678849988,0.0027222979199876835,0.9390756202393327,1.1339629587840017
saelens_sae,embedding_comp,1024,36,12,0.0059,0.0026064898154800832,0.001689496359466149,0.0027222979199876835,0.9574594302639278,1.0908354369848074
saelens_sae,mc,1024,36,12,0.0059,0.0027222979199876835,0.001796050347222222,0.0027222979199876835,1.0,1.0
saelens_sae,embedding_ase,1024,36,12,0.0059,0.003031395844255427,0.0020258325172036098,0.0027222979199876835,1.113543018932014,0.8064658853903203
saelens_sae,input_concept_comp,2048,36,12,0.0059,0.0010754255732906065,0.0007768457366462867,0.0014737677820549533,0.7297116861864649,1.8780078233497355
saelens_sae,per_query_rf,2048,36,12,0.0059,0.0011999803129521818,0.0008275358059541757,0.0014737677820549533,0.8142261810602108,1.5083769055627796
saelens_sae,output_comp,2048,36,12,0.0059,0.0012902080865049266,0.000985586620093873,0.0014737677820549533,0.8754486983735799,1.304783924328872
saelens_sae,embedding_comp,2048,36,12,0.0059,0.0012931211032566883,0.0009836026465011808,0.0014737677820549533,0.8774252762220248,1.2989119664441926
saelens_sae,random_comp,2048,36,12,0.0059,0.0012986093306519555,0.0009528619893764516,0.0014737677820549533,0.8811492193439288,1.2879561535747615
saelens_sae,output_active,2048,36,12,0.0059,0.001380626038199576,0.0009761457471284721,0.0014737677820549533,0.9368002578225011,1.1394781369211153
saelens_sae,random_stratified,2048,36,12,0.0059,0.001418030270363593,0.0011145370634882516,0.0014737677820549533,0.9621802617956253,1.0801575683263653
saelens_sae,internal,2048,36,12,0.0059,0.0014304283496295656,0.0010477143254265936,0.0014737677820549533,0.9705927670877992,1.061514421550414
saelens_sae,mc,2048,36,12,0.0059,0.0014737677820549533,0.001086284722222222,0.0014737677820549533,1.0,1.0
saelens_sae,pca_comp,2048,36,12,0.0059,0.001513097384615083,0.0009716755584824217,0.0014737677820549533,1.0266864312268316,0.9486900708906211
saelens_sae,embedding_ase,2048,36,12,0.0059,0.0017492299786280904,0.0012669316953172899,0.0014737677820549533,1.1869101767098242,0.7098462508655505
saelens_sae,ase_output,2048,36,12,0.0059,0.0018116765178633253,0.0012923443697568397,0.0014737677820549533,1.229282211161658,0.6617543517571716
sklearn_sdl,output_comp,64,36,12,0.0059,0.004406334333815441,0.0033766978116316487,0.00711265987908571,0.6195058401108094,2.605608667966692
sklearn_sdl,random_comp,64,36,12,0.0059,0.0055001514851810785,0.00437130854014713,0.00711265987908571,0.7732903834406447,1.6723022776209315
sklearn_sdl,embedding_comp,64,36,12,0.0059,0.006094517508264221,0.003252454747469099,0.00711265987908571,0.8568549054601547,1.3620260853694601
sklearn_sdl,internal,64,36,12,0.0059,0.006485765035268813,0.004751740447647392,0.00711265987908571,0.9118621086240553,1.2026566611402547
sklearn_sdl,input_concept_comp,64,36,12,0.0059,0.006656842721709477,0.004352422341312126,0.00711265987908571,0.9359146697402849,1.1416355679638683
sklearn_sdl,mc,64,36,12,0.0059,0.00711265987908571,0.005838888888888889,0.00711265987908571,1.0,1.0
sklearn_sdl,pca_comp,64,36,12,0.0059,0.008661702956956176,0.005226028526777995,0.00711265987908571,1.2177867498522348,0.6743067563646259
sklearn_sdl,random_stratified,64,36,12,0.0059,0.009016317895262835,0.007262084778767721,0.00711265987908571,1.2676436169504888,0.6223083841553946
sklearn_sdl,output_active,64,36,12,0.0059,0.009846429949803982,0.006248910779532352,0.00711265987908571,1.3843527059063707,0.521802904455162
sklearn_sdl,embedding_ase,64,36,12,0.0059,0.011188209251608882,0.007637508927152177,0.00711265987908571,1.5729993338367052,0.4041503159029112
sklearn_sdl,ase_output,64,36,12,0.0059,0.015125291248825501,0.008919997025140932,0.00711265987908571,2.1265309330058626,0.2211345444937922
sklearn_sdl,per_query_rf,64,36,12,0.0059,0.017966090915844956,0.0059332034710246895,0.00711265987908571,2.525931398557805,0.15673171909643693
sklearn_sdl,per_query_rf,128,36,12,0.0059,0.0028748541864137777,0.0022137664100172036,0.007253522252633161,0.39633905932668134,6.365994387938574
